,site,species,individual,start_end,age,aborted_ovule_count,accessory_costs,accessory_costs_using_seedweight,accessory_inv,all_leaf_and_repro_inv,all_leaf_inv,choosiness,cone_count,count_per_length,diameter,diameter_0,discarded_costs,discarded_inv,embryo_endo_costs,embryo_endo_inv,embryo_endo_size,flower_inv,fruit_costs,fruit_inv,gross_inv,growth_height,growth_inv,growth_leaf,growth_leaf_area,growth_leaf_neg,growth_leaf_pos,growth_leaf_prop_no_accessory,growth_shoot_length,growth_stem,growth_stem_area,growth_stem_diameter,height,height_0,inflorescence_count,leaf_area,leaf_area_0,leaf_inv_gross,leaf_replacement,leaf_repro_inv,leaf_shed,leaf_size,leaf_weight,leaf_weight_0,lifespan,LMA,lvs_end,lvs_end_count,lvs_end_length,mature,maturity,ovule_count,ovule_per_ovary,pack_disp_success_inv,packaging_dispersal_costs,packaging_dispersal_costs_temp,pollen_attract_costs,pollen_set,postpollen_aborted_costs,postpollen_aborted_count,postpollen_aborted_inv,postpollen_all_costs,postpollen_all_inv,postpollen_count,postpollen_temp_inv,prepollen_all_costs,prepollen_all_inv,prepollen_costs_from_pack_disp_tissues,prepollen_costs_from_seed_tissues,prepollen_count,prepollen_count_aborted_preflowering,prepollen_count_reach_flowering,prepollen_discarded_costs,prepollen_discarded_inv,prepollen_inv_aborted_preflowering,prepollen_inv_from_aborted_dispersal,prepollen_inv_from_pack_disp_tissues,prepollen_partial_costs,prepollen_success_inv,prepollen_temp_inv,prop_accessory_vs_embryo_endo,prop_accessory_vs_propagule,prop_discarded_vs_all_repro,prop_embryo_endo_vs_all_repro,prop_embryo_endo_vs_success,prop_endo,prop_leaf_expand,prop_leaf_loss,prop_leaf_replacement,prop_pack_disp_vs_all_repro,prop_pack_disp_vs_success,prop_pollen_attract_vs_all_repro,prop_pollen_attract_vs_success,prop_postpollen_all_vs_all_repro,prop_postpollen_discarded,prop_postpollen_discarded_vs_all_repro,prop_postpollen_success,prop_prepollen_all_vs_all_repro,prop_prepollen_discarded,prop_prepollen_discarded_vs_all_repro,prop_prepollen_success,prop_propagule_vs_all_repro,prop_provisioning_vs_success,prop_repro,prop_success,prop_surplus,propagule_costs,propagule_costs_temp,propagule_inv,provisioning_costs,RA,RA_max_1,replace_leaf_prop_no_accessory,repro_and_leaf_growth_prop_surplus,repro_costs,repro_inv,repro_prop_all_leaf,reproducing,scaled_ovule_count,scaled_pollen_attract_costs,scaled_provisioning_costs,scaled_reach_flowering_count,scaled_repro_inv,scaled_seed_count,seed_coat_costs,seed_count,seed_prop_all,seed_prop_all_acc,seed_prop_surplus,seed_prop_veg,seed_size,seed_size_source,seedset,shoot_leaf_count,shoot_leaf_count_new,shoot_leaf_count_new_and_shed_count,shoot_leaf_count_start,shoot_length_start,stem_area,stem_weight,stem_weight_0,stop_at_flower_count,success_costs,success_inv,surplus_inv,total_inv,total_weight,total_weight_0,wood_density,zygote_set,mean_P,mean_N,mean_P_s,mean_N_s,ratio_leaf_stem,leaf_m_whole,leaf_a_whole,mean_P_area,mean_N_area,age_group,mean_ratio_leaf_stem,mean_leaf_m_whole,mean_leaf_a_whole,mean_g_diameter,mean_g_height,mean_g_inv,mean_g_leaf_area,mean_g_gross_inv,mean_ratio_leaf_stem_s,mean_leaf_m_whole_s,mean_leaf_a_whole_s,mean_g_stem_diameter_s,mean_g_height_s,mean_g_inv_s,mean_g_leaf_area_s,mean_g_gross_inv_s,mean_LMA_s,mean_P_area_s,mean_N_area_s
24,Wilunga2012,GRBU,GRBU_305,end,1.4,0,0,0,0,3209.1,3209.1,0,0,0.564398308,3.853333333,1.34,0,0,0,0,26.699,0,0,0,4574.43166,153,3704.117433,2338.785773,189.6312789,0,2338.785773,0.511273519,202,1365.33166,10.25147061,2.513333333,185,32,0,260.1972973,70.56601839,3209.1,870.3142269,2338.785773,870.3142269,1.126932157,3209.1,870.3142269,32,0.012333333,0,0,0,FALSE,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0.4631,0.511273519,1,0.701529772,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0.728798035,0,0,0,0,0,0,0.701529772,0.728798035,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,Wenk,0,73.37178002,73.37178002,0,8,32,11.66173156,1415.9,50.56834035,0,0,0,2338.785773,3704.117433,4625,920.8825672,0.725,0,255.657,1.283,145.372375,0.9683875,2.266473621,0.693859459,0.056258875,288.1080943,1.445853957,"Young (1.4, 2.4 yrs)",1.86925211,0.641205466,0.051989632,4.792708333,311.25,23824.83622,997.1729867,27253.43153,0.931023693,0.419256665,0.030013324,2.361805556,131.9722222,10922.66037,219.6397678,17966.62954,0.014638889,131.1091364,0.762429249
25,Basin2007,GRBU,GRBU_402,end,5,0,0,0,0,4838.496484,4838.496484,0,0,0.564398308,7.58,5.246666667,0,0,0,0,26.699,0,0,0,13040.78688,145,6560.585412,-1641.704987,-102.6065617,-1641.704987,0,0,143,8202.290398,23.50609437,2.333333333,535,390,0,1043.1375,1145.744062,4838.496484,4838.496484,-1641.704987,6480.201471,0.543018681,16690.2,18331.90499,32,0.016,106.1822375,52,96,FALSE,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0.4631,0,0.353493075,0.371027955,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.371027955,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,Wenk,0,186.8911956,80.70895802,0,164.2399076,96,45.12615104,12577.2,4374.909602,0,0,0,0,6560.585412,29267.4,22706.81459,0.725,0,NA,NA,NA,NA,1.327020322,0.570265893,0.035641618,NA,NA,"Old (5, 7, 9, 32 yrs)",1.081703884,0.512669108,0.032041819,1.9,96.28571429,5635.31682,-69.10073469,12265.84415,0.931023693,0.419256665,0.030013324,2.361805556,131.9722222,10922.66037,219.6397678,17966.62954,0.014638889,131.1091364,0.762429249
26,Waratah2003,GRBU,GRBU_801,end,9,246,0,0,1027.626316,3615.192538,2587.566222,0,0,0.564398308,9,8.67,0,1027.626316,0,0,26.699,0,0,0,5269.979274,60,1420.043522,-234.7432138,-14.98360939,-234.7432138,0,0,88,1654.786736,4.579735231,0.33,970,910,6,224.8212766,239.804886,2587.566222,2587.566222,792.8831021,2822.309436,0.421715415,3522.2,3756.943214,32,0.015666667,57,57,0,TRUE,5,246,2,0,0,0,0,1,0,34,267.0411975,0,267.0411975,34,267.0411975,0,760.5851184,0,0,212,212,34,0,760.5851184,562.0274913,0,0,0,0,760.5851184,1,1,1,0,0,0.4631,0.194996273,0.751224939,0.685997487,0,0,0,0,0.259862163,1,0,0,0.740137837,1,0,0,0,1,0.194996273,0,0.284252168,0,0,0,0,0.419838616,1,0.609936572,0.284252168,0,1027.626316,0.284252168,TRUE,1.025833977,0,0,0.141781932,4.285260126,0,0,0,0,0,0,0,0,Wenk,0,111,54,0,229.122645,124,63.61725124,19400.8,17746.01326,0,0,0,1027.626316,2447.669838,22923,21502.95648,0.725,0,102.6175,0.81285,145.372375,0.9683875,0.181549214,0.153653536,0.009807672,43.27538158,0.342791375,"Old (5, 7, 9, 32 yrs)",0.313889926,0.23581217,0.015051841,0.936666667,69,6206.165861,-42.99815917,16925.99586,0.931023693,0.419256665,0.030013324,2.361805556,131.9722222,10922.66037,219.6397678,17966.62954,0.014638889,131.1091364,0.762429249
27,Basin1981,GRBU,GRBU_904,end,32,346,1619.347278,1593.708202,3238.694556,6104.730633,2821.806403,174,0,0.564398308,14.21333333,14.15,1482.894415,2965.788831,22.11483713,44.22967426,26.699,3144.250733,148.3,296.6,6588.075139,15,419.3101179,-64.03438799,-4.2689592,-64.03438799,0,0.01320533,60,483.3445059,1.410845627,0.063333333,985,970,8,243.5333333,247.8022925,2821.806403,2821.806403,3218.889842,2885.840791,0.510001938,3653,3717.034388,32,0.015,19,19,0,TRUE,5,348,2,254.8353185,127.4176592,101.7785833,9.035203255,0.270440252,35.52248736,84,71.04497472,185.0549837,370.1099675,86,834.1734457,1456.407131,2912.814262,0,5.396086957,262,30,318,1447.371928,2894.743856,39.61962726,0,0,3.639116299,18.07040651,2448.750784,0.986527355,0.970907697,0.903398502,0.013472645,0.139466217,0.4631,0.498313113,0.776382591,0.926633425,0.07762449,0.803553684,0.005504363,0.056980099,0.112737895,0.191956394,0.02164076,0.808043606,0.887262105,0.993796238,0.881757742,0.006203762,0.029092303,0.943019901,0.498313113,0.096601498,0.537767254,47.75391304,53.15,95.50782609,149.5324964,0.886741335,1,0.855691375,0.537767254,1641.462115,3282.92423,0.537767254,TRUE,1.404345361,0.036461338,0.603434677,1.283281106,13.24815923,0.00807095,25.63907591,2,0.01320533,0.006713596,0.013472645,0.006713596,47.75391304,Wenk,0.005747126,58,39,0,84.96655125,52,158.6652294,55387.2,54903.85549,232,158.5676996,317.1353993,3282.92423,3702.234348,59040.2,58620.88988,0.725,0.023255814,165.993,0.9111,145.372375,0.9683875,0.065953867,0.061873097,0.004124873,84.65675176,0.464662766,"Old (5, 7, 9, 32 yrs)",0.097206653,0.086720999,0.0057814,0.124166667,-17.5,1135.663753,-6.592667165,9260.182346,0.931023693,0.419256665,0.030013324,2.361805556,131.9722222,10922.66037,219.6397678,17966.62954,0.014638889,131.1091364,0.762429249
28,Basin2005,GRSP,GRSP_002,end,7,296,236.2330538,222.5655153,2362.330538,3956.676818,1516.830496,30.6,0,0.504070123,7.03,6.176666667,158.5578123,1585.578123,7.751578402,77.51578402,13.4755,1671.127858,75.66910797,756.6910797,7351.744722,40,2943.185212,-451.882692,-26.58133483,-451.882692,0,0.015536049,95,3395.067904,8.851192955,0.853333333,600,560,17,341.7117647,368.2930995,1516.830496,1516.830496,1987.96363,1968.713188,0.762515972,5809.1,6260.982692,20,0.017,41,41,0,TRUE,2.4,306,2,722.1403935,72.21403935,59.28711661,5.461202151,0.166666667,65.11558977,18,651.1558977,145.0812075,1450.812075,28,1529.662692,98.90342469,989.0342469,0.740615748,2.075477707,278,138,168,93.44222254,934.4222254,175.2384903,13.33108347,124.4234457,2.645108696,54.61202151,910.1836302,0.968229235,0.912211205,0.64986803,0.031770765,0.0907394,0.3619,0.331873101,0.314441564,0.538195621,0.295977819,0.845332174,0.022383386,0.063928426,0.594632564,0.448821669,0.26688398,0.551178331,0.405367436,0.944782477,0.38298405,0.055217523,0.087788795,0.936071574,0.331873101,0.35013197,0.616640285,21.41911689,23.49459459,214.1911689,79.96561775,0.453247637,1,0.319545787,0.616640285,243.9846322,2439.846322,0.616640285,TRUE,0.830859987,0.014828413,0.217124942,0.456158424,6.624740798,0.027152287,13.66753849,10,0.015536049,0.010543862,0.031770765,0.010543862,21.41911689,Wenk,0.032679739,79,38,0,59.80525923,138,38.81508409,11135.8,7740.732096,140,85.4268199,854.268199,2439.846322,5383.031534,16944.9,14001.71479,0.7425,0.357142857,132.6305,0.944,134.7331429,0.945657143,0.521659872,0.342822914,0.020166054,101.1328747,0.719815078,"Old (5, 7, 9, 32 yrs)",0.574367213,0.362351296,0.021314782,0.958333333,45.83333333,5212.119501,-55.13614002,13525.96758,1.324267778,0.521293758,0.031570439,2.061805556,134.7916667,9306.664172,203.7336617,13546.35274,0.016916667,291.0823037,1.295286958
29,Waratah2011,GRSP,GRSP_101,end,1.4,0,0,0,0,1443.207231,1443.207231,0,0,0.504070123,2.88,1.43,0,0,0,0,13.4755,0,0,0,1994.970331,142,1994.970331,1443.207231,94.1222107,0,1443.207231,0.723422904,173,551.7631003,4.908345822,1.45,240,98,0,118.976087,24.85387625,1443.207231,0,1443.207231,0,1.765333667,1824.3,381.0927692,20,0.015333333,10,10,0,FALSE,2.4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0.3619,0.723422904,0,0.723422904,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0.723422904,1,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,Wenk,0,77,67,0,10,98,6.514406526,623.6,71.83689966,0,0,0,1443.207231,1994.970331,2447.9,452.9296689,0.7425,0,280.906,1.054,134.7331429,0.945657143,2.92543297,0.745251031,0.048603328,495.892819,1.860661685,"Young (1.4, 2.4 yrs)",2.066381374,0.655204382,0.042730721,2.818333333,220.4,8419.759821,314.0048616,8895.720281,1.324267778,0.521293758,0.031570439,2.061805556,134.7916667,9306.664172,203.7336617,13546.35274,0.016916667,291.0823037,1.295286958
30,Waratah2011,GRSP,GRSP_151,end,2.4,40,0,0,17.3,7182.846766,7165.546766,0,0,0.504070123,4.916666667,2.813333333,0,17.3,0,0,13.4755,0,0,0,13617.87539,252,10995.72072,4560.692096,253.3717831,0,4560.692096,0.33533082,312,6435.028627,12.76960548,2.103333333,554,302,1,469.0777778,215.7059947,7165.546766,2604.85467,4577.992096,2604.85467,0.869265208,8443.4,3882.707904,20,0.018,26,26,0,TRUE,2.4,40,2,0,0,0,0,0,0,0,0,0,0,0,0,0,17.3,0,0,40,40,0,0,17.3,17.3,0,0,0,0,17.3,1,1,1,0,0,0.3619,0.336175208,0.670886076,0.527457225,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0.001270389,0,0.637350656,0,0,0,0,0.001570868,0.003778949,0.526856148,0.637350656,0,17.3,0.002408516,TRUE,0.185437591,0,0,0,0.080201758,0,0,0,0,0,0,0,0,Wenk,0,97,71,4,79,75,18.98590977,7967.3,1532.271373,0,0,0,4577.992096,11013.02072,16410.7,5414.979277,0.7425,0,110.0575,0.9362,134.7331429,0.945657143,1.059756756,0.51450578,0.028583654,95.66915567,0.813806088,"Young (1.4, 2.4 yrs)",0.980868026,0.49231758,0.027350977,2.96,170.2857143,26196.95215,614.0625524,31879.50899,1.324267778,0.521293758,0.031570439,2.061805556,134.7916667,9306.664172,203.7336617,13546.35274,0.016916667,291.0823037,1.295286958
31,Basin2007,GRSP,GRSP_401,end,5,0,0,0,0,1073.514435,1073.514435,0,0,0.504070123,3.823333333,3.02,0,0,0,0,13.4755,0,0,0,2154.590564,35,1070.362768,-10.71335994,-0.584365088,-10.71335994,0,0,77,1081.076128,4.31770895,0.803333333,420,385,0,147.0927273,147.6770924,1073.514435,1073.514435,-10.71335994,1084.227795,0.545223333,2696.7,2707.41336,20,0.018333333,38,38,0,FALSE,2.4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0.3619,0,0.400466294,0.498245213,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.498245213,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,Wenk,0,79,41,0,63.38259157,48,11.48085436,2142.4,1061.323872,0,0,0,0,1070.362768,4839.1,3768.737232,0.7425,0,NA,NA,NA,NA,1.258728529,0.557273047,0.030396712,NA,NA,"Old (5, 7, 9, 32 yrs)",1.091412654,0.519148714,0.028317203,1.282916667,65.625,2653.882712,-1.018930687,5528.05638,1.324267778,0.521293758,0.031570439,2.061805556,134.7916667,9306.664172,203.7336617,13546.35274,0.016916667,291.0823037,1.295286958
32,Waratah2003,GRSP,GRSP_801,end,9,64,0,0,435.7418485,9302.495731,8866.753883,0,0,0.504070123,9.18,7.816666667,0,435.7418485,0,0,13.4755,0,0,0,16424.52358,60,6048.055157,-1073.972691,-57.5342513,-1073.972691,0,0,158,7122.027848,18.19934224,1.363333333,730,670,12,692.1107143,749.6449656,8866.753883,8866.753883,-638.2308424,9940.726574,0.725319167,12919.4,13993.37269,20,0.018666667,54,54,0,TRUE,2.4,64,2,0,0,0,0,0.15,0,6,169.3253827,0,169.3253827,6,169.3253827,0,266.4164658,0,0,58,24,40,0,266.4164658,90.04587597,0,0,0,0,266.4164658,1,1,1,0,0,0.3619,0.026529954,0.710388181,0.566378421,0,0,0,0,0.388591051,1,0,0,0.611408949,1,0,0,0,1,0.026529954,0,0.046841392,0,0,0,0,0.067204733,1,0.554560944,0.046841392,0,435.7418485,0.046841392,TRUE,0.085373747,0,0,0.053358592,0.58126429,0,0,0,0,0,0,0,0,Wenk,0,103,49,0,186.4564789,168,66.18738819,19803.5,12681.47215,34,0,0,435.7418485,6483.797005,32722.9,26674.84484,0.7425,0,88.425,0.9026,134.7331429,0.945657143,0.65237963,0.394812196,0.021150653,64.13634731,0.65467308,"Old (5, 7, 9, 32 yrs)",0.456235028,0.306356031,0.01641193,0.838095238,10,6063.177151,-65.76443612,17681.95804,1.324267778,0.521293758,0.031570439,2.061805556,134.7916667,9306.664172,203.7336617,13546.35274,0.016916667,291.0823037,1.295286958
33,Basin2005,HATE,HATE_001,end,7,40,0,0,135.590753,7768.848687,7633.257934,0,0,0.193845202,7.706666667,6.236666667,0,135.590753,0,0,8.176,0,0,0,12674.61234,15,7689.527687,2783.764036,53.43117152,0,2783.764036,0.222008074,103,4905.763651,16.09807054,1.47,740,725,0,267.5163148,214.0851433,7633.257934,4849.493897,2919.354789,4849.493897,0.725750156,13937.6,11153.83596,40,0.0521,65,65,0,TRUE,7,40,2,0,0,0,0,0,0,0,0,0,0,0,0,0,135.590753,0,0,40,34,6,0,135.590753,68.6071123,0,0,0,0,135.590753,1,1,1,0,0,0.811,0.230330894,0.434782609,0.612945665,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0.010697822,0,0.375777018,0,0,0,0,0.017327629,0.046445452,0.608760252,0.375777018,0,135.590753,0.017453133,TRUE,0.18684155,0,0,0.028026233,0.633349661,0,0,0,0,0,0,0,0,Wenk,0,106,41,0,115,140,46.64692623,9978.5,5072.736349,6,0,0,2919.354789,7825.11844,23916.1,16226.57231,0.574285714,0,137.298,0.805366667,111.1046667,0.697644444,1.396763041,0.582770602,0.011185616,99.64404495,0.584494984,"Old (5, 7, 9, 32 yrs)",1.049255201,0.490143511,0.009407745,2.823333333,142.8571429,54843.61671,248.2781201,94068.46402,1.594822252,0.554460559,0.011462007,2.423475177,230.3617021,50443.91895,150.3773417,92581.75109,0.051601809,113.2899381,0.706280835
34,Waratah2011,HATE,HATE_103,end,1.4,0,0,0,0,13415.20663,13415.20663,0,0,0.193845202,7.78,2.96,0,0,0,0,8.176,0,0,0,20957.11595,275,20957.11595,13415.20663,332.8835393,0,13415.20663,0.640126564,319,7541.909318,40.65754964,4.82,490,215,0,438.9776675,106.0941282,13415.20663,0,13415.20663,0,1.288728456,17690.8,4275.593368,40,0.0403,20,20,0,FALSE,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0.811,0.640126564,0,0.640126564,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0.640126564,1,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,Wenk,0,60,40,0,20,215,47.53889419,7853.5,311.5906822,0,0,0,13415.20663,20957.11595,25544.3,4587.18405,0.574285714,0,116.061,0.7029,111.1046667,0.697644444,2.252600751,0.69255372,0.017184956,149.5711133,0.905847232,"Young (1.4, 2.4 yrs)",2.866597955,0.73400787,0.018213595,2.487380952,319.8571429,6185.357291,103.4815624,6550.346969,1.594822252,0.554460559,0.011462007,2.423475177,230.3617021,50443.91895,150.3773417,92581.75109,0.051601809,113.2899381,0.706280835
35,Waratah2011,HATE,HATE_151,end,2.4,0,0,0,0,2761.839028,2761.839028,0,0,0.193845202,3.533333333,2.42,0,0,0,0,8.176,0,0,0,4033.018323,233,3532.398812,2261.219517,42.90739122,0,2261.219517,0.560676728,245,1271.179295,5.205653934,1.113333333,488,255,0,76.68311195,33.77572073,2761.839028,500.6195108,2261.219517,500.6195108,1.802174028,4041.2,1779.980483,40,0.0527,23,23,0,FALSE,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0.811,0.560676728,0.28125,0.684806963,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0.818736898,0,0,0,0,0,0,0.684806963,0.818736898,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,Wenk,0,57,34,0,32,255,9.805259738,1729,457.8207052,0,0,0,2261.219517,3532.398812,5770.2,2237.801188,0.574285714,0,104.88625,0.70375,111.1046667,0.697644444,2.3373048,0.700357007,0.013289507,189.0232756,1.268279972,"Young (1.4, 2.4 yrs)",1.673109624,0.607089322,0.011519721,2.218888889,439.8333333,13683.87393,125.5822286,14593.89508,1.594822252,0.554460559,0.011462007,2.423475177,230.3617021,50443.91895,150.3773417,92581.75109,0.051601809,113.2899381,0.706280835
36,Basin2007,HATE,HATE_401,end,5,24,0,0,45.76869875,6770.405847,6724.637148,0,0,0.193845202,6.613333333,4.636666667,0,45.76869875,0,0,8.176,0,0,0,12575.62223,260,9440.427246,3635.210863,66.6603459,0,3635.210863,0.290123971,410,5805.216383,17.46529166,1.976666667,850,590,0,222.2292176,155.5688717,6724.637148,3089.426285,3680.979562,3089.426285,0.991691066,12118.9,8483.689137,40,0.054533333,44,44,0,FALSE,7,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,45.76869875,0,0,24,24,0,0,45.76869875,45.76869875,0,0,0,0,45.76869875,1,1,1,0,0,0.811,0.292707549,0.364160713,0.538375416,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0.003639478,0,0.543686692,0,0,0,0,0.004824768,0.012433837,0.536689206,0.543686692,0,45.76869875,0.006760112,TRUE,0.154272508,0,0,0,0.294202164,0,0,0,0,0,0,0,0,Wenk,0,115,71,0,69.19987629,202,34.3503137,8430.7,2625.483617,0,0,0,3680.979562,9486.195944,20549.6,11109.17275,0.574285714,0,NA,NA,NA,NA,1.43747257,0.589738973,0.010814284,NA,NA,"Old (5, 7, 9, 32 yrs)",1.403458046,0.583170613,0.010693838,1.717222222,193.3333333,8738.349016,63.51019365,12018.53441,1.594822252,0.554460559,0.011462007,2.423475177,230.3617021,50443.91895,150.3773417,92581.75109,0.051601809,113.2899381,0.706280835
37,Waratah2003,HATE,HATE_801,end,9,313,3895.453863,3893.652218,3895.453863,58106.70467,54203.51994,314,0,0.193845202,13.94666667,12.18333333,3724.416612,3724.416612,7.73086814,7.73086814,8.176,3505.477195,170.7419275,170.7419275,78634.66496,75,28375.61216,7847.651872,123.0521658,0,7847.651872,0.105103902,228,20527.96029,36.18792724,1.763333333,1320,1245,0,881.0693846,758.0172188,54203.51994,46355.86807,11750.8366,46355.86807,0.508374853,56190.2,48342.54813,40,0.063775,3,3,0,TRUE,7,314,2,159.8733116,159.8733116,158.0716667,11.16394011,0.024647887,484.784449,6,484.784449,652.3886288,652.3886288,7,674.352863,3250.796103,3250.796103,0,3.13774775,307,30,284,3239.632163,3239.632163,80.23711146,0,0,8.026192361,11.16394011,3228.831869,0.998019344,0.99755776,0.954199421,0.001980656,0.043245228,0.811,0.149435832,0.95890411,0.738945155,0.040959709,0.894305493,0.002860213,0.062449279,0.167142647,0.743091507,0.124202282,0.256908493,0.832857353,0.996565783,0.82999714,0.003434217,0.00244224,0.937550721,0.049636947,0.045800579,0.202228584,9.53251312,12.67026087,9.53251312,167.6041798,0.12092101,0.332162285,0.725338815,0.202228584,3903.184732,3903.184732,0.067172708,TRUE,0.414238611,0.014727819,0.221108671,0.374661674,5.149203257,0.001319231,1.80164498,1,0.000103438,9.83E-05,0.000657899,9.83E-05,9.53251312,Wenk,0.003184713,44,41,0,73,125,152.7674128,61816.7,41288.73971,277,178.7681199,178.7681199,11750.8366,32278.79689,118006.9,89631.28784,0.574285714,0.142857143,106.3205,0.669725,111.1046667,0.697644444,0.908980906,0.476160292,0.007466253,54.05066853,0.340471348,"Old (5, 7, 9, 32 yrs)",0.916184735,0.476855063,0.007477147,3.170952381,171.4285714,77524.8267,252.2908304,132380.2753,1.594822252,0.554460559,0.011462007,2.423475177,230.3617021,50443.91895,150.3773417,92581.75109,0.051601809,113.2899381,0.706280835
38,Basin1981,HATE,HATE_901,end,32,5581,3621.267283,3618.699043,68804.07837,361130.5712,292117.1065,294.7368421,0,0.193845202,37.56333333,34.49,3371.277411,64054.27081,11.02032868,209.3862449,8.176,62518.06462,252.9840081,4806.696154,654245.2351,405,305733.4046,12618.74066,217.2648186,0,12618.74066,0.021911898,250,293114.6639,173.9216411,3.073333333,2785,2380,0,8484.548898,8267.284079,292117.1065,279498.3659,81632.20528,279498.3659,0.493173944,492782.6,480163.8593,40,0.05808,28,28,0,TRUE,7,5600,2,4537.692702,238.8259317,236.2576923,11.16394011,0.004642857,87.72313747,7,1666.739612,337.5693978,6413.818559,26,6495.4,3294.718214,62599.64606,0,3.13774775,5574,0,5600,3283.554274,62387.5312,0,0,0,8.026192361,212.1148621,62518.06462,0.996966009,0.99625895,0.928141648,0.003033991,0.042221831,0.811,0.124773099,0.582089552,0.551980438,0.065750832,0.915006123,0.003073529,0.042772045,0.092935757,0.259866973,0.024150934,0.740133027,0.907064243,0.996611565,0.903990715,0.003388435,0.00374105,0.957227955,0.105485621,0.071858352,0.226046233,13.58856804,16.72631579,258.1827928,249.8462603,0.184160217,0.845419579,0.499326857,0.226046233,3632.287611,69013.46462,0.191103911,TRUE,0.677368764,0.001350376,0.030221081,0.677368764,8.347779507,0.002298215,2.56823936,19,0.000357655,0.000320042,0.002564996,0.000320042,13.58856804,Wenk,0.003392857,52,24,10,67,475,1108.199959,1359000,1065885.336,5574,261.0102005,4959.193809,81632.20528,374746.8692,1851782.6,1546049.195,0.574285714,0.730769231,98.745,0.634725,111.1046667,0.697644444,0.36260677,0.266112556,0.004581828,48.69846114,0.313029832,"Old (5, 7, 9, 32 yrs)",0.372398417,0.267569498,0.004606913,1.929047619,50,174736.6782,140.0651428,347182.4286,1.594822252,0.554460559,0.011462007,2.423475177,230.3617021,50443.91895,150.3773417,92581.75109,0.051601809,113.2899381,0.706280835
